Sort	Tangraph	Unicode	LFW2008	LFW1997	Simple	Complex	Class	Rhyme	Tone	Subrhyme	Initial	Medial	Vowel	Cycle	Nasal/w	Prime	Grade	Variant	Notes
1166	𗲼	U+17CBC	L1166	L1166	tswy	1tswy4	III	31	1	30	ts	w	y				IV		
1167	𘒔	U+18494	L1167	L1167	twe	1twe1	III	34	1	33	t	w	e				I		
1168	𗉌	U+1724C	L1168	L1168	pu	2pu4	I	3	2	3	p		u				IV		
1169	𗘔	U+17614	L1169	L1169	tshwu	1tshwu4	VI	3	1	3	tsh	w	u				IV		
1170	𗗯	U+175EF	L1170	L1170	che	2che3	VII	36	2	32	ch		e				III		
1171	𗵿	U+17D7F	L1171	L1171	bi	2bi'1	I	12	2	11	b		i			'	I		
1172	𗶍	U+17D8D	L1172	L1172	bi	2bi'1	I	12	2	11	b		i			'	I		
1173	𘅕	U+18155	L1173	L1173	zon	1zon1	IX	56	1	54	z		o		n		I		
1174	𘝌	U+1874C	L1174	L1174	len	1lenq3	IX	65	1	62	l		e	q	n		III		
1175	𘗪	U+185EA	L1175	L1175	lwu	1lwu4	IX	3	1	3	l	w	u				IV		Grade IV l-!
1176	𘆕	U+18195	L1176	L1176	ga	2ga'1	V	22	2	19	g		a			'	I		
1177	𗈏	U+1720F	L1177	L1177	de	2de4	III	37	2	33	d		e				IV		
1178	𗇨	U+171E8	L1178	L1178	ma	1ma4	I	20	1	20	m		a				IV		
1179	𗇧	U+171E7	L1179	L1179	khy	2khy1	V	28	2	25	kh		y				I		
1180	𗈨	U+17228	L1180	L1180	lo	1lo1	IX	51	1	49	l		o				I		
1181	𗈤	U+17224	L1181	L1181	shu	1shu3	VII	2	1	2	sh		u				III		
1182	𗕗	U+17557	L1182	L1182	rer	2rer4	IX	79	2	68	r		e	r			IV		
1183	𘅣	U+18163	L1183	L1183	da	2daq1	III	66	2	56	d		a	q			I		
1184	𘑴	U+18474	L1184	L1184	lhorn	2lhorn1	IX	97	2	82	lh		o	r	n		I		
1185	𘞻	U+187BB	L1185	L1185	dy	2dy4	III	31	2	28	d		y				IV		
1186	𘒟	U+1849F	L1186	L1186	zhon	1zhon'2	IX	59	1	57	zh		o		n	'	II		
1187	𗈎	U+1720E	L1187	L1187	?	0???	III	?	0	?	?		?				?		
1188	𗇱	U+171F1	L1188	L1188	nga	2nga1	V	17	2	14	ng		a				I		
1189	𗇼	U+171FC	L1189	L1189	gwan	2gwan4	V	27	2	24	g	w	a		n		IV		
1190	𗕫	U+1756B	L1190	L1190	rur	2rur1	IX	80	2	69	r		u	r			I		
1191	𗕳	U+17573	L1191	L1191	shy	1shyq3	VII	72	1	69	sh		y	q			III		
1192	𗘫	U+1762B	L1192	L1192	lu	1lu'3	IX	7	1	7	l		u			'	III		
1193	𗍚	U+1735A	L1193	L1193	zar	1zar1	IX	85	1	80	z		a	r			I		
1194	𗕝	U+1755D	L1194	L1194	phy	1phyq4	I	72	1	69	ph		y	q			IV		
1195	𗗵	U+175F5	L1195	L1195	khi	2khi2	V	9	2	8	kh		i				II		
1196	𘈕	U+18215	L1196	L1196	shwo	1shwo3	VII	50	1	48	sh	w	o				III		
1197	𘙆	U+18646	L1197	L1197	vy	1vy2	II	29	1	28	v		y				II		
1198	𗕞	U+1755E	L1198	L1198	dzo	2dzo'1	VI	54	2	45	dz		o			'	I		
1199	𘒘	U+18498	L1199	L1199	pan	1pan2	I	26	1	25	p		a		n		II		
1200	𗘂	U+17602	L1200	L1200	khwy	1khwy4	V	31	1	30	kh	w	y				IV		
1201	𗍈	U+17348	L1201	L1201	kon	1kon4	V	58	1	56	k		o		n		IV		
1202	𗈘	U+17218	L1202	L1202	hwin	2hwin1	VIII	15	2	13	h	w	i		n		I		
1203	𗘀	U+17600	L1203	L1203	kew	2kew1	V	44	2	38	k		e		w		I		
1204	𘅞	U+1815E	L1204	L1204	ner	2ner4	III	79	2	68	n		e	r			IV		
1205	𘄥	U+18125	L1205	L1205	se	2seq4	VI	64	2	54	s		e	q			IV		
1206	𗇴	U+171F4	L1206	L1206	dzon	1dzon1	VI	56	1	54	dz		o		n		I		
1207	𗈞	U+1721E	L1207	L1207	dzar	2dzar4	VI	87	2	74	dz		a	r			IV		
1208	𗲁	U+17C81	L1208	L1208	cha	1cha2	VII	18	1	18	ch		a				II		
1209	𗲶	U+17CB6	L1209	L1209	chew	1chew2	VII	45	1	44	ch		e		w		II		
1210	𗈈	U+17208	L1210	L1210	jan	2jan2	VII	26	2	23	j		a		n		II		
1211	𗲷	U+17CB7	L1211	L1211	ngwu	2ngwu'1	V	5	2	5	ng	w	u			'	I		
1212	𘙧	U+18667	L1212	L1212	gwi	1gwi4	V	11	1	11	g	w	i				IV		
1213	𘘨	U+18628	L1213	L1213	zy	2zyq4	IX	72	2	61	z		y	q			IV		
1214	𗡷	U+17877	L1214	L1214	non	2non2	IV	57	2	48	n		o		n		II		
1215	𗇰	U+171F0	L1215	L1215	ma	1ma4	I	20	1	20	m		a				IV		
1216	𗕚	U+1755A	L1216	L1216	ma	1ma4	I	20	1	20	m		a				IV		
1217	𘅉	U+18149	L1217	L1217	te	1te4	III	37	1	36	t		e				IV	L1355	
1218	𘜇	U+18707	L1218	L1218	chho	1chho2	VII	52	1	50	chh		o				II		
1219	𗘈	U+17608	L1219	L1219	ngwir	2ngwir1	V	82	2	71	ng	w	i	r			I		
1220	𗸯	U+17E2F	L1220	L1220	jwu	1jwu3	VII	2	1	2	j	w	u				III		
1221	𘙗	U+18657	L1221	L1221	zi	1zi4	IX	11	1	11	z		i				IV		
1222	𘝿	U+1877F	L1222	L1222	li	2li3	IX	10	2	9	l		i				III		
1223	𘜼	U+1873C	L1223	L1223	pho	2pho'4	I	55	2	46	ph		o			'	IV		
1224	𘜞	U+1871E	L1224	L1224	tse	2tse1	VI	34	2	30	ts		e				I		
1225	𗈁	U+17201	L1225	L1225	vu	1vu'3	II	7	1	7	v		u			'	III		
1226	𗱟	U+17C5F	L1226	L1226	?	0???	VI	?	0	?	?		?				?		
1227	𗱭	U+17C6D	L1227	L1227	shew	2shew3	VII	46	2	40	sh		e		w		III		
1228	𗲂	U+17C82	L1228	L1228	ngur	1ngur1	V	80	1	75	ng		u	r			I		
1229	𘆓	U+18193	L1229	L1229	lha	2lha4	IX	20	2	17	lh		a				IV		
1230	𗌴	U+17334	L1230	L1230	vi	2vi1	II	8	2	7	v		i				I		
1231	𘘓	U+18613	L1231	L1231	khwe	1khwe1	V	34	1	33	kh	w	e				I		
1232	𗶐	U+17D90	L1232	L1232	mi	2mi1	I	8	2	7	m		i				I		
1233	𗰫	U+17C2B	L1233	L1233	to	1to1	III	51	1	49	t		o				I		
1234	𘄱	U+18131	L1234	L1234	then	1then4	III	43	1	42	th		e		n		IV		
1235	𘔗	U+18517	L1235	L1235	nin	1nin4	III	16	1	16	n		i		n		IV		
1236	𘔛	U+1851B	L1236	L1236	jy	2jyq3	VII	72	2	61	j		y	q			III		
1237	𘑠	U+18460	L1237	L1237	vor	2vor1	II	95	2	80	v		o	r			I		
1238	𘘸	U+18638	L1238	L1238	gi	2gi'4	V	14	2	12	g		i			'	IV		
1239	𘘷	U+18637	L1239	L1239	vir	1vir2	II	83	1	78	v		i	r			II		
1240	𘙘	U+18658	L1240	L1240	ky	1ky4	V	31	1	30	k		y				IV		
1241	𘞁	U+18781	L1241	L1241	li	2li3	IX	10	2	9	l		i				III		
1242	𘝋	U+1874B	L1242	L1242	dzwy	2dzwy4	VI	31	2	28	dz	w	y				IV		
1243	𗱣	U+17C63	L1243	L1243	vi	1vi'3	II	14	1	14	v		i			'	III		
1244	𗕓	U+17553	L1244	L1244	di	2diq4	III	70	2	60	d		i	q			IV		
1245	𘝵	U+18775	L1245	L1245	e	1e4	VIII	37	1	36	Ø		e				IV		
1246	𗕙	U+17559	L1246	L1246	phy	1phy1	I	28	1	27	ph		y				I		
1247	𗕘	U+17558	L1247	L1247	ngy	1ngy1	V	28	1	27	ng		y				I		
1248	𗲚	U+17C9A	L1248	L1248	kwe	1kwe1	V	34	1	33	k	w	e				I		
1249	𗉩	U+17269	L1249	L1249	go	1go'4	V	55	1	53	g		o			'	IV		
1250	𗉓	U+17253	L1250	L1250	phi	1phi4	I	11	1	11	ph		i				IV		
1251	𗰯	U+17C2F	L1251	L1251	lhy	1lhy4	IX	31	1	30	lh		y				IV		
1252	𗕐	U+17550	L1252	L1252	ky	1kyq4	V	72	1	69	k		y	q			IV		
1253	𗱑	U+17C51	L1253	L1253	chew	2chew3	VII	46	2	40	ch		e		w		III		
1254	𗲳	U+17CB3	L1254	L1254	jwyr	1jwyr3	VII	92	1	86	j	w	y	r			III		
1255	𘒄	U+18484	L1255	L1255	chho	1chho2	VII	52	1	50	chh		o				II		
1256	𗶆	U+17D86	L1256	L1256	ghwa	1ghwa1	VIII	17	1	17	gh	w	a				I		
1257	𗸪	U+17E2A	L1257	L1257	ar	1ar4	VIII	87	1	82	Ø		a	r			IV		
1258	𗸰	U+17E30	L1258	L1258	ton	1ton1	III	56	1	54	t		o		n		I		
1259	𗉋	U+1724B	L1259	L1259	chon	1chon2	VII	57	1	55	ch		o		n		II		
1260	𗉠	U+17260	L1260	L1260	chu	1chu3	VII	2	1	2	ch		u				III		
1261	𗉙	U+17259	L1261	L1261	di	1diq4	III	70	1	67	d		i	q			IV		
1262	𗉛	U+1725B	L1262	L1262	zhi	1zhiq3	IX	70	1	67	zh		i	q			III		
1263	𗉫	U+1726B	L1263	L1263	khe	1khe'1	V	38	1	37	kh		e			'	I		
1264	𗰰	U+17C30	L1264	L1264	kir	2kir4	V	84	2	72	k		i	r			IV		
1265	𘟡	U+187E1	L1265	L1265	lhy	0lhy1	IX	28	0	?	lh		y				I		
1266	𘔊	U+1850A	L1266	L1266	py	1py2	I	29	1	28	p		y				II		
1267	𗈕	U+17215	L1267A	-	zhi	2zhi2	IX	9	2	8	zh		i				II		
1268	𗈊	U+1720A	L1267B	L1267	zhi	2zhi2	IX	9	2	8	zh		i				II		
1269	𗕤	U+17564	L1268	L1268	shwa	1shwa3	VII	19	1	19	sh	w	a				III		
1270	𗌾	U+1733E	L1269	L1269	thwy	2thwy4	III	31	2	28	th	w	y				IV		
1271	𗱓	U+17C53	L1270	L1270	jy	2jyq3	VII	72	2	61	j		y	q			III		
1272	𗱰	U+17C70	L1271	L1271	lan	1lan1	IX	25	1	24	l		a		n		I		
1273	𗍜	U+1735C	L1272	L1272	pa	1pa4	I	20	1	20	p		a				IV		
1274	𘄟	U+1811F	L1273	L1273	tsha	2tsha1	VI	17	2	14	tsh		a				I		
1275	𗟭	U+177ED	L1274	L1274	vo	2vo1	II	51	2	42	v		o				I		
1276	𘓨	U+184E8	L1275	L1275	ror	2ror1	IX	95	2	80	r		o	r			I		
1277	𗗸	U+175F8	L1276	L1276	va	1va1	II	17	1	17	v		a				I		
1278	𗳘	U+17CD8	L1277	L1277	ngwi	1ngwi1	V	8	1	8	ng	w	i				I		
1279	𘘣	U+18623	L1278	L1278	y	2y4	VIII	31	2	28	Ø		y				IV		
1280	𘘥	U+18625	L1279	L1279	y	1y4	VIII	31	1	30	Ø		y				IV		
1281	𘙿	U+1867F	L1280	L1280	le	2le4	IX	37	2	33	l		e				IV		Grade IV l-!
1282	𘝇	U+18747	L1281	L1281	shwi	2shwi'3	VII	14	2	12	sh	w	i			'	III		
1283	𗱧	U+17C67	L1282	L1282	me	2me'1	I	38	2	34	m		e			'	I		
1284	𗵴	U+17D74	L1283	L1283	dza	1dza4	VI	20	1	20	dz		a				IV		
1285	𗱬	U+17C6C	L1284	L1284	py	1py1	I	28	1	27	p		y				I		
1286	𗟠	U+177E0	L1285	L1285	ju	1ju3	VII	2	1	2	j		u				III		
1287	𘄤	U+18124	L1286	L1286	phy	1phyq4	I	72	1	69	ph		y	q			IV		
1288	𗲥	U+17CA5	L1287	L1287	tse	2tse4	VI	37	2	33	ts		e				IV		
1289	𘅟	U+1815F	L1288	L1288	tshi	1tshi4	VI	11	1	11	tsh		i				IV		
1290	𘄻	U+1813B	L1289	L1289	lwa	1lwa4	IX	20	1	20	l	w	a				IV		Grade IV l-!
1291	𗡪	U+1786A	L1290	L1290	tsew	2tsew1	VI	44	2	38	ts		e		w		I		
1292	𗕵	U+17575	L1291	L1291	jwa	1jwa'3	VII	21	1	21	j	w	a			'	III		
1293	𗰬	U+17C2C	L1292	L1292	to	1to1	III	51	1	49	t		o				I		
1294	𗸮	U+17E2E	L1293	L1293	vy	1vy1	II	28	1	27	v		y				I		
1295	𘈄	U+18204	L1294	L1294	chy	1chy'3	VII	33	1	32	ch		y			'	III		
1296	𘅢	U+18162	L1295	L1295	tshu	1tshu1	VI	1	1	1	tsh		u				I		
1297	𘄵	U+18135	L1296	L1296	o	2o1	VIII	51	2	42	Ø		o				I		
1298	𗈂	U+17202	L1297	L1297	ka	2ka1	V	17	2	14	k		a				I		
1299	𗈒	U+17212	L1298	L1298	kewr	2kewr4	V	94	2	79	k		e	r	w		IV		
1300	𗘭	U+1762D	L1299	L1299	tha	2tha1	III	17	2	14	th		a				I		
1301	𗱞	U+17C5E	L1300	L1300	lan	1lan1	IX	25	1	24	l		a		n		I		
1302	𗱮	U+17C6E	L1301	L1301	ten	1tenq4	III	65	1	62	t		e	q	n		IV		
1303	𗲔	U+17C94	L1302	L1302	ngur	1ngur1	V	80	1	75	ng		u	r			I		
1304	𗲆	U+17C86	L1303	L1303	ghyr	1ghyr4	VIII	92	1	86	gh		y	r			IV		
1305	𗲢	U+17CA2	L1304	L1304	lu	1luq1	IX	61	1	58	l		u	q			I		
1306	𘒙	U+18499	L1305	L1305	twi	1twi1	III	8	1	8	t	w	i				I		
1307	𗌵	U+17335	L1306	L1306	kon	1kon4	V	58	1	56	k		o		n		IV		
1308	𗍒	U+17352	L1307	L1307	va	1vaq3	II	67	1	64	v		a	q			III		Nevsky ghost character for L1063?
1309	𘗹	U+185F9	L1308	L1308	vi	2vi1	II	8	2	7	v		i				I		
1310	𘓫	U+184EB	L1309	L1309	che	1che3	VII	36	1	35	ch		e				III		
1311	𗗺	U+175FA	L1310	L1310	ly	1ly'3	IX	33	1	32	l		y			'	III		
1312	𗗹	U+175F9	L1311	L1311	shwa	2shwa'3	VII	21	2	18	sh	w	a			'	III		
1313	𗗿	U+175FF	L1312	L1312	ta	1ta1	III	17	1	17	t		a				I		
1314	𗘄	U+17604	L1313	L1313	ta	1ta1	III	17	1	17	t		a				I		
1315	𗘆	U+17606	L1314	L1314	kew	2kew1	V	44	2	38	k		e		w		I		
1316	𗶀	U+17D80	L1315	L1315	lu	2lu'3	IX	7	2	6	l		u			'	III		
1317	𗡵	U+17875	L1316	L1316	de	1de'4	III	40	1	39	d		e			'	IV		
1318	𘄹	U+18139	L1317	L1317	twin	1twin1	III	15	1	15	t	w	i		n		I		
1319	𘄹	U+18139	L1318	L1318	le	2le4	IX	37	2	33	l		e				IV		Grade IV l-!
1320	𘄴	U+18134	L1319	L1319	tshi	1tshi4	VI	11	1	11	tsh		i				IV		
1321	𘅖	U+18156	L1320	L1320	by	1by'4	I	33	1	32	b		y			'	IV		
1322	𘅗	U+18157	L1321	L1321	zi	1ziq4	IX	70	1	67	z		i	q			IV		
1323	𘅭	U+1816D	L1322	L1322	ta	1ta1	III	17	1	17	t		a				I	L1312	
1324	𘅜	U+1815C	L1323	L1323	di	2di'4	III	14	2	12	d		i			'	IV		
1325	𗳥	U+17CE5	L1324	L1324	ju	2ju'3	VII	7	2	6	j		u			'	III		
1326	𘘪	U+1862A	L1325	L1325	ton	1ton1	III	56	1	54	t		o		n		I		
1327	𘙌	U+1864C	L1326	L1326	ky	1ky4	V	31	1	30	k		y				IV		
1328	𘝀	U+18740	L1327	L1327	phi	1phi'4	I	14	1	14	ph		i			'	IV		
1329	𘚝	U+1869D	L1328	L1328	lu	0lu?	IX	?	0	?	l		u				?		
1330	𘞃	U+18783	L1329	L1329	jon	1jon3	VII	58	1	56	j		o		n		III		
1331	𘜝	U+1871D	L1330	L1330	tser	2tser'4	VI	101	2	86	ts		e	r		'	IV		
1332	𗲦	U+17CA6	L1331	L1331	vi	1vi'3	II	14	1	14	v		i			'	III		
1333	𘈧	U+18227	L1332	L1332	de	1de'1	III	38	1	37	d		e			'	I		
1334	𘗮	U+185EE	L1333	L1333	ju	2juq3	VII	62	2	52	j		u	q			III		
1335	𘓧	U+184E7	L1334	L1334	?	0???	?	?	0	?	?		?				?		
1336	𗇟	U+171DF	L1335	L1335	khy	2khy1	V	28	2	25	kh		y				I		
1337	𗈦	U+17226	L1336	L1336	lha	0lhaq1	IX	66	0	?	lh		a	q			I		
1338	𗕡	U+17561	L1337	L1337	zor	1zor4	IX	96	1	90	z		o	r			IV		
1339	𘟠	U+187E0	L1338	L1338	dzu	1dzu1	VI	1	1	1	dz		u				I		
1340	𗕥	U+17565	L1339	L1339	bi	2bi'4	I	14	2	12	b		i			'	IV		
1341	𗲓	U+17C93	L1340	L1340	bo	1boq2	I	74	1	71	b		o	q			II		
1342	𗲛	U+17C9B	L1341	L1341	kwe	1kwe1	V	34	1	33	k	w	e				I		
1343	𗲰	U+17CB0	L1342	L1342	kwe	1kwe1	V	34	1	33	k	w	e				I		
1344	𗲟	U+17C9F	L1343	L1343	py	1py1	I	28	1	27	p		y				I		
1345	𗲯	U+17CAF	L1344	L1344	tswe	1tswe4	VI	37	1	36	ts	w	e				IV		
1346	𘒉	U+18489	L1345	L1345	lo	1lo'1	IX	54	1	52	l		o			'	I		
1347	𗌻	U+1733B	L1346	L1346	ar	2ar1	VIII	85	2	73	Ø		a	r			I		
1348	𗘋	U+1760B	L1347	L1347	ka	1kaq1	V	66	1	63	k		a	q			I		
1349	𘘘	U+18618	L1348	L1348	sa	1sa1	VI	17	1	17	s		a				I		
1350	𗉕	U+17255	L1349	L1349	chyr	2chyr'3	VII	100	2	85	ch		y	r		'	III		
1351	𗎟	U+1739F	L1350	L1350	thar	1thar'1	III	88	1	83	th		a	r		'	I		
1352	𗚀	U+17680	L1351	L1351	cho	1cho3	VII	53	1	51	ch		o				III		
1353	𘄘	U+18118	L1352	L1352	ghon	1ghon2	VIII	57	1	55	gh		o		n		II		
1354	𗡩	U+17869	L1353	L1353	hwi	1hwi1	VIII	8	1	8	h	w	i				I		
1355	𗶅	U+17D85	L1354	L1354	chu	1chuq3	VII	62	1	59	ch		u	q			III		
1356	𘄿	U+1813F	L1355	L1355	te	1te4	III	37	1	36	t		e				IV		
1357	𗳤	U+17CE4	L1356	L1356	lhwy	2lhwy4	IX	31	2	28	lh	w	y				IV		
1358	𘜄	U+18704	L1357	L1357	ngwir	1ngwir1	V	82	1	77	ng	w	i	r			I		
1359	𘝎	U+1874E	L1358	L1358	vir	2vir1	II	82	2	71	v		i	r			I		
1360	𗕏	U+1754F	L1359	L1359	chyr	2chyr3	VII	92	2	77	ch		y	r			III		
1361	𗕜	U+1755C	L1360	L1360	va	1va1	II	17	1	17	v		a				I		
1362	𗕮	U+1756E	L1361	L1361	chhi	1chhi'3	VII	14	1	14	chh		i			'	III		
1363	𗕴	U+17574	L1362	L1362	tsen	1tsenq4	VI	65	1	62	ts		e	q	n		IV		
1364	𗘬	U+1762C	L1363	L1363	swa	1swa4	VI	20	1	20	s	w	a				IV		
1365	𗲠	U+17CA0	L1364	L1364	nga	1nga1	V	17	1	17	ng		a				I		
1366	𗲺	U+17CBA	L1365	L1365	shu	2shu3	VII	2	2	2	sh		u				III		
1367	𘒑	U+18491	L1366	L1366	jwe	2jwe4	VII	37	2	33	j	w	e				IV		Grade IV j-!
1368	𗘛	U+1761B	L1367	L1367	tshwu	1tshwu4	VI	3	1	3	tsh	w	u				IV		
1369	𗸲	U+17E32	L1368	L1368	zur	2zur4	IX	81	2	70	z		u	r			IV		
1370	𗙹	U+17679	L1369	L1369	lhon	1lhon1	IX	56	1	54	lh		o		n		I		
1371	𗰳	U+17C33	L1370	L1370	lhy	1lhy4	IX	31	1	30	lh		y				IV		
1372	𘈅	U+18205	L1371	L1371	no	2no'1	III	54	2	45	n		o			'	I		
1373	𘞅	U+18785	L1372	L1372	la	1la1	IX	17	1	17	l		a				I		
1374	𗕨	U+17568	L1373	L1373	lo	1loq1	IX	73	1	70	l		o	q			I		
1375	𗉘	U+17258	L1374	L1374	chhy	1chhy3	VII	30	1	29	chh		y				III		
1376	𗘅	U+17605	L1375	L1375	gu	1gu4	V	3	1	3	g		u				IV		
1377	𗎣	U+173A3	L1376	L1376	pon	1pon2	I	57	1	55	p		o		n		II		
1378	𗈣	U+17223	L1377	L1377	kewr	2kewr4	V	94	2	79	k		e	r	w		IV		
1379	𗕱	U+17571	L1378	L1378	ghi	1ghi2	VIII	9	1	9	gh		i				II		
1380	𗱺	U+17C7A	L1379	L1379	me	2me'1	I	38	2	34	m		e			'	I		
1381	𗲧	U+17CA7	L1380	L1380	me	2me'1	I	38	2	34	m		e			'	I		
1382	𗍙	U+17359	L1381	L1381	vi	2vi1	II	8	2	7	v		i				I		
1383	𗟣	U+177E3	L1382	L1382	ly	2ly'3	IX	33	2	29	l		y			'	III		
1384	𗵷	U+17D77	L1383	L1383	she	1she3	VII	36	1	35	sh		e				III		
1385	𗵷	U+17D77	L1384	L1384	she	1she3	VII	36	1	35	sh		e				III	L1383	
1386	𘄠	U+18120	L1385	L1385	chha	2chha3	VII	19	2	16	chh		a				III		
1387	𘈲	U+18232	L1386	L1386	by	2by1	I	28	2	25	b		y				I		
1388	𘗾	U+185FE	L1387	L1387	lhe	2lhe4	IX	37	2	33	lh		e				IV		
1389	𘅸	U+18178	L1388	L1388	li	1li'3	IX	14	1	14	l		i			'	III		
1390	𘑻	U+1847B	L1389	L1389	di	2diq4	III	70	2	60	d		i	q			IV		
1391	𘙟	U+1865F	L1390	L1390	lho	2lhoq2	IX	74	2	63	lh		o	q			II		
1392	𘙢	U+18662	L1391	L1391	ba	1ba1	I	17	1	17	b		a				I		
1393	𗡹	U+17879	L1392	L1392	korn	2korn1	V	97	2	82	k		o	r	n		I		
1394	𗟩	U+177E9	L1393	L1393	ra	0ra1	IX	?	0	?	r		a				I		
1395	𗲻	U+17CBB	L1394	L1394	tha	1tha'1	III	22	1	22	th		a			'	I		
1396	𘜆	U+18706	L1395	L1395	on	1on'2	VIII	59	1	57	Ø		o		n	'	II		
1397	𗈥	U+17225	L1396	L1396	je	1je'2	VII	39	1	38	j		e			'	II		
1398	𗗳	U+175F3	L1397	L1397	khwy	2khwy4	V	31	2	28	kh	w	y				IV		
1399	𘅡	U+18161	L1398	L1398	se	1se'4	VI	40	1	39	s		e			'	IV		
1400	𗈙	U+17219	L1399	L1399	chu	1chu'3	VII	7	1	7	ch		u			'	III		
1401	𗕦	U+17566	L1400	L1400	thy	1thy4	III	31	1	30	th		y				IV		
1402	𗶏	U+17D8F	L1401	L1401	lu	2lu'3	IX	7	2	6	l		u			'	III		
1403	𘔘	U+18518	L1402	L1402	hun	1hun1	VIII	104	1	96	h		u		n		I		
1404	𗲘	U+17C98	L1403	L1403	rur	1rur4	IX	81	1	76	r		u	r			IV		
1405	𘄗	U+18117	L1404	L1404	dzwy	1dzwyq4	VI	72	1	69	dz	w	y	q			IV		
1406	𘙑	U+18651	L1405	L1405	lho	2lhoq4	IX	75	2	64	lh		o	q			IV		
1407	𘜿	U+1873F	L1406	L1406	?	0???	IX	?	0	?	?		?				?		
1408	𗎠	U+173A0	L1407	L1407	er	2er'4	VIII	101	2	86	Ø		e	r		'	IV		
1409	𘒎	U+1848E	L1408	L1408	lhor	1lhor'1	IX	102	1	94	lh		o	r		'	I		
1410	𗉪	U+1726A	L1409	L1409	chhen	2chhen2	VII	42	2	36	chh		e		n		II		
1411	𘅎	U+1814E	L1410	L1410	len	2lenq3	IX	65	2	55	l		e	q	n		III		
1412	𘘽	U+1863D	L1411	L1411	me	1me'4	I	40	1	39	m		e			'	IV	L5677	
1413	𗍛	U+1735B	L1412	L1412	ky	2kyq4	V	72	2	61	k		y	q			IV		
1414	𗕛	U+1755B	L1413	L1413	te	1te1	III	34	1	33	t		e				I		
1415	𗲀	U+17C80	L1414	L1414	lo	2lo1	IX	51	2	42	l		o				I		
1416	𗸧	U+17E27	L1415	L1415	?	0???	?	?	0	?	?		?				?		Nevsky ghost character?
1417	𗳬	U+17CEC	L1416	L1416	dwu	2dwu4	III	3	2	3	d	w	u				IV		
1418	𘑸	U+18478	L1417	L1417	rorn	1rorn1	IX	97	1	91	r		o	r	n		I		
1419	𗕬	U+1756C	L1418	L1418	shy	4shy3	VII	30	4	27	sh		y				III		
1420	𘅘	U+18158	L1419	L1419	ner	2ner4	III	79	2	68	n		e	r			IV		
1421	𘝍	U+1874D	L1420	L1420	chu	2chuq3	VII	62	2	52	ch		u	q			III		
1422	𗇸	U+171F8	L1421	L1421	zy	1zyq4	IX	72	1	69	z		y	q			IV		
1423	𗈃	U+17203	L1422	L1422	su	1su'4	VI	7	1	7	s		u			'	IV		
1424	𗸨	U+17E28	L1423	L1423	ngwyr	1ngwyr1	V	90	1	84	ng	w	y	r			I		
1425	𗉚	U+1725A	L1424	L1424	thu	1thu4	III	3	1	3	th		u				IV		
1426	𗕋	U+1754B	L1425	L1425	ler	1ler'3	IX	101	1	93	l		e	r		'	III		
1427	𘇥	U+181E5	L1426	L1426	pho	2phoq1	I	73	2	62	ph		o	q			I		
1428	𘜉	U+18709	L1427	L1427	phi	2phi4	I	11	2	10	ph		i				IV		
1429	𘒒	U+18492	L1428	L1428	lo	1lo'1	IX	54	1	52	l		o			'	I		
1430	𘃳	U+180F3	L1429	L1429	kew	1kew4	V	46	1	45	k		e		w		IV		
1431	𗳵	U+17CF5	L1430	L1430	dzwy	1dzwy'4	VI	33	1	32	dz	w	y			'	IV		
1432	𗰷	U+17C37	L1431	L1431	zwyr	1zwyr1	IX	90	1	84	z	w	y	r			I		
1433	𗇿	U+171FF	L1432	L1432	de	1de4	III	37	1	36	d		e				IV		
1434	𗱾	U+17C7E	L1433	L1433	dew	2dew'1	III	48	2	41	d		e		w	'	I		
1435	𗱹	U+17C79	L1434	L1434	zewr	1zewr1	IX	93	1	87	z		e	r	w		I		
1436	𗸋	U+17E0B	L1435	L1435	tsewr	2tsewr1	VI	93	2	78	ts		e	r	w		I		
1437	𗕟	U+1755F	L1436	L1436	ty	2tyq4	III	72	2	61	t		y	q			IV		
1438	𗲮	U+17CAE	L1437	L1437	zher	2zher2	IX	78	2	67	zh		e	r			II		
1439	𗸇	U+17E07	L1438	L1438	de	1deq4	III	64	1	61	d		e	q			IV		
1440	𘞈	U+18788	L1439	L1439	tan	1tan1	III	25	1	24	t		a		n		I		
1441	𘆊	U+1818A	L1440	L1440	ghon	1ghon4	VIII	58	1	56	gh		o		n		IV		
1442	𘆆	U+18186	L1441	L1441	le	1le4	IX	37	1	36	l		e				IV		Grade IV l-!
1443	𘆇	U+18187	L1442	L1442	le	2le4	IX	37	2	33	l		e				IV		Grade IV l-!
1444	𘅿	U+1817F	L1443	L1443	bu	1buq4	I	62	1	59	b		u	q			IV		
1445	𗕎	U+1754E	L1444	L1444	new	2new'1	III	48	2	41	n		e		w	'	I		
1446	𗈓	U+17213	L1445	L1445	le	2le1	IX	34	2	30	l		e				I		
1447	𘇦	U+181E6	L1446	L1446	kwen	1kwenq4	V	65	1	62	k	w	e	q	n		IV		
1448	𗱫	U+17C6B	L1447	L1447	su	1su'4	VI	7	1	7	s		u			'	IV		
1449	𗷸	U+17DF8	L1448	L1448	ew	2ew4	VIII	46	2	40	Ø		e		w		IV		
1450	𗷬	U+17DEC	L1449	L1449	chhwor	2chhwor1	VII	95	2	80	chh	w	o	r			I		Grade I chh-!
1451	𗲑	U+17C91	L1450	L1450	dew	2dew'1	III	48	2	41	d		e		w	'	I		
