Sort	Tangraph	Unicode	LFW2008	LFW1997	Simple	Complex	Class	Rhyme	Tone	Subrhyme	Initial	Medial	Vowel	Cycle	Nasal/w	Prime	Grade	Variant	Notes
1535	𗗁	U+175C1	L1534	L1534	shy	1shy3	VII	30	1	29	sh		y				III		
1536	𘒖	U+18496	L1535	L1535	lo	1lo'1	IX	54	1	52	l		o			'	I		
1537	𗖦	U+175A6	L1536	L1536	shwon	2shwon3	VII	58	2	49	sh	w	o		n		III		
1538	𗗌	U+175CC	L1537	L1537	go	1go1	V	51	1	49	g		o				I		
1539	𗖲	U+175B2	L1538	L1538	lhu	1lhu4	IX	3	1	3	lh		u				IV		
1540	𗲅	U+17C85	L1539	L1539	chhwen	1chhwen2	VII	42	1	41	chh	w	e		n		II		
1541	𗗃	U+175C3	L1540	L1540	wu	1wuq4	VIII	62	1	59	Ø	w	u	q			IV		
1542	𘙸	U+18678	L1541	L1541	lo	1lo2	IX	52	1	50	l		o				II		
1543	𗌭	U+1732D	L1542	L1542	ku	1ku1	V	1	1	1	k		u				I		
1544	𗌮	U+1732E	L1543	L1543	mor	1mor4	I	96	1	90	m		o	r			IV		
1545	𗖧	U+175A7	L1544	L1544	i	2i3	VIII	10	2	9	Ø		i				III		Grade III Ø-!
1546	𗘮	U+1762E	L1545	L1545	nyr	1nyr1	III	90	1	84	n		y	r			I		
1547	𘛽	U+186FD	L1546	L1546	lu	2luq3	IX	62	2	52	l		u	q			III		
1548	𗲡	U+17CA1	L1547	L1547	hin	2hin1	VIII	15	2	13	h		i		n		I		
1549	𗲬	U+17CAC	L1548	L1548	ka	2ka'2	V	23	2	20	k		a			'	II		
1550	𗇩	U+171E9	L1549	L1549	lon	2lon1	IX	56	2	47	l		o		n		I		
1551	𗈔	U+17214	L1550	L1550	ka	2ka1	V	17	2	14	k		a				I		
1552	𗳃	U+17CC3	L1551	L1551	bi	1biq4	I	70	1	67	b		i	q			IV		
1553	𗳾	U+17CFE	L1552	L1552	chha	2chha'2	VII	23	2	20	chh		a			'	II		
1554	𘈹	U+18239	L1553	L1553	on	2on'4	VIII	60	2	50	Ø		o		n	'	IV		
1555	𗲗	U+17C97	L1554	L1554	syr	1syr4	VI	92	1	86	s		y	r			IV		
1556	𗈖	U+17216	L1555	L1555	?	0???	?	?	0	?	?		?				?		
1557	𗴆	U+17D06	L1556	L1556	jwy	2jwy4	VII	31	2	28	j	w	y				IV		Grade IV j-!
1558	𘇬	U+181EC	L1557	L1557	tswar	1tswar4	VI	87	1	82	ts	w	a	r			IV		
1559	𗹍	U+17E4D	L1558	L1558	morn	2morn1	I	97	2	82	m		o	r	n		I		
1560	𗇭	U+171ED	L1559	L1559	ka	2ka1	V	17	2	14	k		a				I		
1561	𗴁	U+17D01	L1560	L1560	ka	2ka1	V	17	2	14	k		a				I		
1562	𘈵	U+18235	L1561	L1561	ni	2niq4	III	70	2	60	n		i	q			IV		
