ꚠ,a
𖦶,ŋkup
𖦷,kɛt
𖦸,mə
𖦹,ŋkaami
𖦺,ɣɛt
𖦻,fa
𖦼,ntum
𖦽,pɯt
𖦾,yɯm
𖦿,ŋgɯə
𖧀,nyi
𖧁,nzuʔ
𖧂,pɔɔn
𖧃,mie
𖧄,füt
𖧅,nə
𖧆,muə
𖧇,ɣɯə
𖧈,fu i
𖧉,mvi
𖧊,puaʔ
𖧋,ŋkum
𖧌,kut
𖧍,piɛt
𖧎,ntap
𖧏,yɯət
𖧐,ŋgup
𖧑,pa
𖧒,fu
𖧓,fɔm
𖧔,nʒe
𖧕,a
𖧖,tɔʔ
𖧗,ɔ
𖧘,i
𖧙,laʔ
𖧚,pa
𖧛,taa
𖧜,taʔ
𖧝,ndaa
𖧞,ʃiʔ
𖧟,yɯx
𖧠,ŋuə
𖧡,yuən
𖧢,yɔʔ
𖧣,yɔʔ
𖧤,yuʔ
𖧥,yun
𖧦,kɯx
𖧧,pɯx
𖧨,nʒe
𖧩,pü
𖧪,wü
𖧫,fe
𖧬,ve
𖧭,lu
𖧮,mi
𖧯,rɯx
𖧰,rə
𖧱,ŋuət
𖧲,ŋa
𖧳,ʃɔ
𖧴,ʃɔʔ
𖧵,fu
𖧶,na
𖧷,pi
𖧸,lɔʔ
𖧹,kɔ
𖧺,mɛn
𖧻,ma
𖧼,maʔ
𖧽,tɯ
𖧾,ki
𖧿,mɔn
𖨀,tɛn
𖨁,faʔ
𖨂,ɣɔm
𖨃,ka
𖨄,u
𖨅,ku
𖨆,e
𖨇,re
𖨈,tə
𖨉,nyi
𖨊,la
𖨋,rii
𖨌,rie
𖨍,mee
𖨎,taa
𖨏,ndaa
𖨐,nʒəm
𖨑,m
𖨒,suu
𖨓,ʃii
𖨔,si
𖨕,sɯx
𖨖,kye
𖨗,kɛt
𖨘,nuə
𖨙,nu
𖨚,nʒuə
𖨛,yɔʔ
𖨜,ʃu
𖨝,ya
𖨞,nʃa
𖨟,pɯx
𖨠,nte
𖨡,wü
𖨢,pe
𖨣,ru
𖨤,n'i
𖨥,rɯx
𖨦,kɛn
𖨧,ŋkwən
𖨨,ŋga
𖨩,ʃɔ
𖨪,puə
𖨫,fɔm
𖨬,wa
𖨭,li
𖨮,lɔʔ
𖨯,kɔ
𖨰,mbɛn
𖨱,rɛn
𖨲,ma
𖨳,mɔ
𖨴,mbaa
𖨵,tɛt
𖨶,kpa
𖨷,samba
𖨸,vüʔ
