𓈦	13226	E207 E253	eqv
𓈧	13227	T84c T84:N24 T84	eqv
𓈨	13228	T128	eqv
𓈪	1322a	E199	eqv
𓈫	1322b	E201a	eqv
𓈬	1322c	E211a	eqv
𓈭	1322d	V26\r1*S38:R12a:N24	eqv
𓈮	1322e	N119	eqv
𓈯	1322f	G26:N24	eqv
𓈰	13230	K17:N24 K4a:R12a:N24	eqv
𓈱	13231	F18:d:t*O49:R12a:N24 F18:d-t:O49	eqv
𓈲	13232	F36*(F18:d:t*O49):R12a:N24	eqv
𓈳	13233	A17*F1:R12a:N24 A377	eqv
𓈴	13234	A17*F22:R12a:N24	eqv
𓈵	13235	M4*G13:R12a:N24 G115	eqv
𓈶	13236	N17:Aa32\*(t:N18):R12a:N24 N120	eqv
𓈷	13237	G127	eqv
𓈹	13239	S40:R12a:N24	eqv
𓈺	1323a	G266	eqv
𓈻	1323b	I106a	eqv
𓈼	1323c	Y8:R12a:N24 R129	eqv
𓈾	1323e	H6:R22:R12a:N24 R118	eqv
𓈿	1323f	I31b	eqv
𓉀	13240	M13*(D:t):R12a:N24	eqv
𓉁	13241	E21d E21:R12a:N24	eqv
𓉂	13242	H*S3*N35a:R12a:N24	eqv
𓉃	13243	N26:f:R12a:N24 N118	eqv
𓉄	13244	N112	eqv
𓉅	13245	M48*(F22:t):R12a:N24 N113	eqv
𓉆	13246	E34b	eqv
𓉇	13247	E198	eqv
𓉈	13248	E145b	eqv
𓉉	13249	G148a G144:R12a:N24	eqv
𓉊	1324a	G7e	eqv
𓉋	1324b	S40*b*S40:R12a:N24 S151	eqv
𓉌	1324c	M1*W117:R12a:W24	eqv
𓉍	1324d	N113b M1*(F22:t):R12a:N24	eqv
𓉎	1324e	T30a:R12a:N24	eqv
𓉐	13250	pr O1	
𓉑	13251	O54	
𓉒	13252	O2	
𓉓	13253	O3	
𓉔	13254	h O4	
𓉕	13255	O5	
𓉖	13256	O5\	
𓉗	13257	Hwt O6	
𓉘	13258	<h1	
𓉙	13259	<h2	
𓉚	1325a	<h3	
𓉛	1325b	h3> O85a	
𓉜	1325c	h2> O85	
𓉝	1325d	h1> O86	
𓉞	1325e	O7	
𓉟	1325f	O8	
𓉠	13260	O9	
𓉡	13261	O10	
𓉢	13262	<h1-S34-h2>	
𓉣	13263	<h1-L2-h3>	
𓉥	13265	aH O11	
𓉦	13266	O12	
𓉧	13267	O13	
𓉨	13268	O14	
𓉩	13269	wsxt O15	
𓉪	1326a	O16	
𓉫	1326b	O17	
𓉬	1326c	kAr O18	
𓉭	1326d	O19	
𓉯	1326f	O20	
𓉱	13271	O21	
𓉲	13272	zH O22	
𓉳	13273	O23	
𓉴	13274	O24	
𓉶	13276	txn O25	
𓉸	13278	O26	
𓉹	13279	O27	
𓉺	1327a	iwn O28	
𓉻	1327b	aA O29	
𓉼	1327c	O29v O29\r3 	
𓉽	1327d	zxnt O30	
𓉾	1327e	O30-O30-O30-O30	
𓉿	1327f	O31	
𓊀	13280	O32	
𓊁	13281	O33	
𓊃	13283	z O34	
𓊄	13284	zb O35	
𓊅	13285	inb O36	
𓊆	13286	O36\r1	
𓊇	13287	O36\r3	
𓊊	1328a	O37	
𓊋	1328b	qnbt O38	
𓊌	1328c	O39	
𓊍	1328d	O40	
𓊎	1328e	O41	
𓊏	1328f	Szp O42	
𓊐	13290	O43	
𓊑	13291	O44	
𓊒	13292	ipt O45	
𓊓	13293	O46	
𓊔	13294	nxn O47	
𓊕	13295	O48	
𓊖	13296	niwt O49	
𓊗	13297	zp O50	
𓊚	1329a	Snwt O51	
𓊛	1329b	P1	
𓊜	1329c	P1a	
𓊝	1329d	P2	
𓊞	1329e	P3	
𓊠	132a0	wHa P4	
𓊡	132a1	nfw P5	
𓊢	132a2	aHa P6	
𓊣	132a3	P7	
𓊤	132a4	xrw P8	
𓊥	132a5	P9	
𓊦	132a6	P10	
𓊧	132a7	P11	
𓊨	132a8	st Q1	
𓊩	132a9	wz Q2	
𓊪	132aa	p Q3	
𓊫	132ab	Q4	
𓊬	132ac	Q5	
𓊭	132ad	qrsw Q6	
𓊮	132ae	Q7	
𓊯	132af	xAwt R1	
𓊰	132b0	R2	
𓊲	132b2	R3	
𓊳	132b3	R3p	
𓊵	132b5	Htp R4	
𓊶	132b6	kp R5	
𓊷	132b7	R6	
𓊸	132b8	snTr R7	
𓊹	132b9	nTr R8	
𓊺	132ba	bd R9	
𓊻	132bb	R10	
𓊼	132bc	R8:T28	
𓊽	132bd	dd R11	
𓊾	132be	R12	
𓊿	132bf	R13	
𓋀	132c0	imnt R14	
𓋁	132c1	iAb R15	
𓋂	132c2	wx R16	
𓋃	132c3	R16b	
𓋄	132c4	R17	
𓋅	132c5	R18	
𓋆	132c6	R19	
𓋇	132c7	R20	
𓋈	132c8	R21	
𓋉	132c9	xm R22	
𓋊	132ca	R23	
𓋋	132cb	R24	
𓋌	132cc	R25	
𓋍	132cd	R26	
𓋎	132ce	R27	
𓋏	132cf	R28	
𓋐	132d0	R29	
𓋑	132d1	HDt S1	
𓋒	132d2	S2	
𓋓	132d3	S48	
𓋔	132d4	dSrt S3	
𓋕	132d5	S4	
𓋖	132d6	S5	
𓋗	132d7	sxmty S6	
𓋘	132d8	S50	
𓋙	132d9	xprS S7	
𓋚	132da	Atf S8	
𓋛	132db	Swty S9	
𓋜	132dc	mDH S10	
𓋝	132dd	wsx S11	
𓋞	132de	nbw S12	
𓋟	132df	S13	
𓋠	132e0	S14	
𓋡	132e1	S14a	
𓋢	132e2	S40:S12	
𓋣	132e3	tHn S15	
𓋤	132e4	S16	
𓋥	132e5	S17	
𓋦	132e6	S17a	
𓋧	132e7	mnit S18	
𓋨	132e8	sDAw S19	
𓋩	132e9	xtm S20	
𓋪	132ea	S21	
𓋫	132eb	sT S22	
𓋬	132ec	dmD S23	
𓋭	132ed	Tz S24	
𓋮	132ee	S25	
𓋯	132ef	Sndyt S26	
𓋲	132f2	mnxt S27	
𓋳	132f3	S28	
𓋴	132f4	s S29	
𓋵	132f5	sf S30	
𓋶	132f6	S31	
𓋷	132f7	siA S32	
𓋸	132f8	Tb S33	
𓋹	132f9	anx S34	
𓋺	132fa	Swt S35	
𓋼	132fc	S36	
𓋽	132fd	xw S37	
𓋾	132fe	HqA S38	
𓋿	132ff	awt S39	
𓌀	13300	wAs S40	
𓌁	13301	Dam S41	
𓌂	13302	xrp S42	
𓌃	13303	md S43	
𓌄	13304	Ams S44	
𓌅	13305	nxxw S45	
𓌆	13306	S46	
𓌇	13307	T1	
𓌈	13308	T2	
𓌉	13309	HD T3	
𓌊	1330a	T43	
𓌋	1330b	T4	
𓌌	1330c	T5	
𓌍	1330d	HDD T6	
𓌎	1330e	T7	
𓌏	1330f	T7a	
𓌐	13310	T8	
𓌑	13311	T8a	
𓌒	13312	pd T9	
𓌓	13313	T9a	
𓌔	13314	pD T10	
𓌕	13315	zwn T11	
𓌖	13316	T60	
𓌗	13317	rwd T12	
𓌘	13318	rs T13	
𓌙	13319	qmA T14	
𓌚	1331a	T15	
𓌛	1331b	T16	
𓌜	1331c	T16a	
𓌝	1331d	wrrt T17	
𓌞	1331e	Sms T18	
𓌟	1331f	qs T19	
𓌠	13320	T20	
𓌡	13321	wa T21	
𓌢	13322	sn T22	
𓌣	13323	T23	
𓌤	13324	iH T24	
𓌥	13325	DbA T25	
𓌦	13326	T26	
𓌧	13327	T27	
𓌨	13328	Xr T28	
𓌩	13329	nmt T29	
