LFW,Simple,Complex,Class,Rhyme,Tone,Subrhyme,Initial,Medial,Vowel,Cycle,Nasal/w,Prime,Grade,Variant,Notes
L0191,kwe,2kwe4,V,37,2,33,k,w,e,,,,IV,,
L0192,li,2liq3,IX,70,2,60,l,,i,q,,,III,,
L0193,len,1lenq3,IX,65,1,62,l,,e,q,n,,III,,
L0194,chi,2chiq3,VII,70,2,60,ch,,i,q,,,III,,
L0195,swy,2swy4,VI,31,2,28,s,w,y,,,,IV,,
L0196,dwu,1dwu4,III,3,1,3,d,w,u,,,,IV,,
L0197,rir,2rir1,IX,82,2,71,r,,i,r,,,I,,
L0198,lhi,2lhiq4,IX,70,2,60,lh,,i,q,,,IV,,
L0199,sy,2sy4,VI,31,2,28,s,,y,,,,IV,,
L0200,lon,2lon1,IX,56,2,47,l,,o,,n,,I,,
L0201,me,1me4,I,37,1,36,m,,e,,,,IV,,
L0202,khan,1khan4,V,27,1,26,kh,,a,,n,,IV,L0162,
L0203,khwy,0khwy2,V,29,0,?,kh,w,y,,,,II,,
L0204,swo,2swo4,VI,53,2,44,s,w,o,,,,IV,,
L0205,jan,1jan2,VII,26,1,25,j,,a,,n,,II,,
L0206,bu,2bu'1,I,5,2,5,b,,u,,,',I,,
L0207,len,2lenq3,IX,65,2,55,l,,e,q,n,,III,,
L0208,byr,1byr1,I,90,1,84,b,,y,r,,,I,,
L0209,lwin,1lwin3,IX,16,1,16,l,w,i,,n,,III,,
L0210,bi,1biq1,I,68,1,65,b,,i,q,,,I,,
L0211,ku,1ku'4,V,7,1,7,k,,u,,,',IV,,
L0212,shon,1shon'2,VII,59,1,57,sh,,o,,n,',II,,
L0213,ne,1ne4,III,37,1,36,n,,e,,,,IV,,
L0214,lu,2luq1,IX,61,2,51,l,,u,q,,,I,,
L0215,khi,1khi4,V,11,1,11,kh,,i,,,,IV,L0042,
L0216,khi,2khi2,V,9,2,8,kh,,i,,,,II,,
L0217,li,2li3,IX,10,2,9,l,,i,,,,III,,
L0218,e,1e'4,VIII,40,1,39,Ø,,e,,,',IV,,
L0219,tsewr,2tsewr1,VI,93,2,78,ts,,e,r,w,,I,,
L0220,chen,1chen2,VII,42,1,41,ch,,e,,n,,II,,
L0221,lhi,2lhi4,IX,11,2,10,lh,,i,,,,IV,,
L0222,horn,1horn1,VIII,97,1,91,h,,o,r,n,,I,,
L0223,ky,1ky2,V,29,1,28,k,,y,,,,II,,
L0224,rar,1rar1,IX,85,1,80,r,,a,r,,,I,,
L0225,ghy,1ghy4,VIII,30,1,29,gh,,y,,,,IV,,
L0226,ngwu,1ngwu1,V,1,1,1,ng,w,u,,,,I,,
L0227,mor,2mor4,I,96,2,81,m,,o,r,,,IV,,
L0228,ke,1ke'2,V,39,1,38,k,,e,,,',II,,
L0229,ngon,2ngon2,V,57,2,48,ng,,o,,n,,II,,
L0230,ghyr,1ghyr4,VIII,92,1,86,gh,,y,r,,,IV,,
L0231,ghyr,1ghyr4,VIII,92,1,86,gh,,y,r,,,IV,,
L0232,har,1har1,VIII,85,1,80,h,,a,r,,,I,,
L0233,zewr,2zewr1,IX,93,2,78,z,,e,r,w,,I,,
L0234,she,1sheq2,VII,63,1,60,sh,,e,q,,,II,,
L0235,du,2du'1,III,5,2,5,d,,u,,,',I,,
L0236,u,1uq1,VIII,61,1,58,Ø,,u,q,,,I,,
L0237,ge,2ge4,V,37,2,33,g,,e,,,,IV,,
L0238,she,1sheq2,VII,63,1,60,sh,,e,q,,,II,,
L0239,lhy,1lhy4,IX,31,1,30,lh,,y,,,,IV,,
L0240,du,1duq4,III,62,1,59,d,,u,q,,,IV,,
L0241,du,1duq4,III,62,1,59,d,,u,q,,,IV,,
L0242,lon,2lon3,IX,58,2,49,l,,o,,n,,III,,
L0243,si,2si4,VI,11,2,10,s,,i,,,,IV,,
L0244,ka,1ka1,V,17,1,17,k,,a,,,,I,,
L0245,shwi,2shwi3,VII,10,2,9,sh,w,i,,,,III,,
L0246,me,2me4,I,37,2,33,m,,e,,,,IV,,
L0247,lhorn,2lhorn1,IX,97,2,82,lh,,o,r,n,,I,,
L0248,no,2no1,III,51,2,42,n,,o,,,,I,,
L0249,dzen,1dzen1,VI,41,1,40,dz,,e,,n,,I,,
L0250,bi,1biq1,I,68,1,65,b,,i,q,,,I,,
L0251,bi,2bi4,I,11,2,10,b,,i,,,,IV,,
L0252,so,1so4,VI,53,1,51,s,,o,,,,IV,,
L0253,tho,2tho'1,III,54,2,45,th,,o,,,',I,,
L0254,khu,1khu1,V,1,1,1,kh,,u,,,,I,,
L0255,la,1laq1,IX,66,1,63,l,,a,q,,,I,,
L0256,hwa,1hwa2,VIII,18,1,18,h,w,a,,,,II,,
L0257,ngwyr,1ngwyr1,V,90,1,84,ng,w,y,r,,,I,,
L0258,dzwew,1dzwew1,VI,44,1,43,dz,w,e,,w,,I,,
L0259,lwa,1lwa4,IX,20,1,20,l,w,a,,,,IV,,Grade IV l-!
L0260,nga,1nga1,V,17,1,17,ng,,a,,,,I,,
L0261,mo,2mo4,I,53,2,44,m,,o,,,,IV,,
L0262,le,1le1,IX,34,1,33,l,,e,,,,I,,
L0263,tu,2tuq4,III,62,2,52,t,,u,q,,,IV,,
L0264,ke,1ke2,V,35,1,34,k,,e,,,,II,,
L0265,py,1pyq1,I,71,1,68,p,,y,q,,,I,,
L0266,kyr,1kyr'4,V,100,1,92,k,,y,r,,',IV,,
L0267,shwen,1shwen3,VII,43,1,42,sh,w,e,,n,,III,,
L0268,yr,2yr4,VIII,92,2,77,Ø,,y,r,,,IV,,
L0269,khy,1khy'4,V,33,1,32,kh,,y,,,',IV,,
L0270,kyr,1kyr'4,V,100,1,92,k,,y,r,,',IV,,
L0271,bi,2bi'4,I,14,2,12,b,,i,,,',IV,,
L0272,le,2le1,IX,34,2,30,l,,e,,,,I,,
L0273,le,1le1,IX,34,1,33,l,,e,,,,I,,
L0274,che,1cheq3,VII,64,1,61,ch,,e,q,,,III,,
L0275,mer,2mer4,I,79,2,68,m,,e,r,,,IV,,
L0276,no,2no1,III,51,2,42,n,,o,,,,I,,
L0277,zi,2zi4,IX,11,2,10,z,,i,,,,IV,,
L0278,ky,1ky4,V,31,1,30,k,,y,,,,IV,,
L0279,cha,1cha'3,VII,21,1,21,ch,,a,,,',III,,
L0280,jwe,1jwe3,VII,36,1,35,j,w,e,,,,III,,
L0281,tsir,1tsir1,VI,82,1,77,ts,,i,r,,,I,,
L0282,chhew,1chhew3,VII,46,1,45,chh,,e,,w,,III,,
L0283,kwen,2kwen2,V,42,2,36,k,w,e,,n,,II,,
L0284,shwo,1shwo3,VII,50,1,48,sh,w,o,,,,III,,
L0285,rir,1rir1,IX,82,1,77,r,,i,r,,,I,,
L0286,na,1na1,III,17,1,17,n,,a,,,,I,,
L0287,nga,1nga1,V,17,1,17,ng,,a,,,,I,,
L0288,dzew,2dzew4,VI,46,2,40,dz,,e,,w,,IV,,
L0289,vi,2vi1,II,8,2,7,v,,i,,,,I,,
L0290,su,2su4,VI,3,2,3,s,,u,,,,IV,,
L0291,kyr,1kyr'4,V,100,1,92,k,,y,r,,',IV,,
L0292,ngwyr,1ngwyr1,V,90,1,84,ng,w,y,r,,,I,,
L0293,dzi,2dzi1,VI,8,2,7,dz,,i,,,,I,,
L0294,va,1va1,II,17,1,17,v,,a,,,,I,,
L0295,tsur,1tsur1,VI,80,1,75,ts,,u,r,,,I,,
L0296,tew,1tew1,III,44,1,43,t,,e,,w,,I,,
L0297,se,2se4,VI,37,2,33,s,,e,,,,IV,,
L0298,chhin,1chhin3,VII,16,1,16,chh,,i,,n,,III,,
L0299,di,2diq4,III,70,2,60,d,,i,q,,,IV,,
L0300,var,1var3,II,87,1,82,v,,a,r,,,III,,
L0301,la,1laq1,IX,66,1,63,l,,a,q,,,I,,
L0302,ji,0ji?,VII,?,0,?,j,,i,,,,?,,
